song_name,artist,location_at_chart,year_of_billboard
hey mama,"david guetta featuring nicki minaj, bebe rexha & afrojack",31,2015
g.d.f.r.,flo rida featuring sage the gemini & lookas,32,2015
what do you mean?,justin bieber,33,2015
photograph,ed sheeran,34,2015
hello,adele,35,2015
stitches,shawn mendes,36,2015
talking body,tove lo,37,2015
jealous,nick jonas,38,2015
time of our lives,pitbull & ne-yo,39,2015
locked away,r. city featuring adam levine,40,2015
somebody,natalie la rose featuring jeremih,41,2015
fourfiveseconds,rihanna & kanye west & paul mccartney,42,2015
centuries,fall out boy,43,2015
my way,fetty wap featuring monty,44,2015
take your time,sam hunt,45,2015
animals,maroon 5,46,2015
i don't f**k with you,big sean featuring e-40,47,2015
b**** better have my money,rihanna,48,2015
flex (ooh ooh ooh),rich homie quan,49,2015
nasty freestyle,t-wayne,50,2015
only,"nicki minaj featuring drake, lil wayne & chris brown",51,2015
elastic heart,sia,52,2015
cool for the summer,demi lovato,53,2015
renegades,x ambassadors,54,2015
i don't mind,usher featuring juicy j,55,2015
love me harder,ariana grande & the weeknd,56,2015
wildest dreams,taylor swift,57,2015
stay with me,sam smith,58,2015
you know you like it,dj snake & alunageorge,59,2015
uma thurman,fall out boy,60,2015
07-???,beyonce,61,2015
the heart wants what it wants,selena gomez,62,2015
girl crush,little big town,63,2015
slow motion,trey songz,64,2015
drag me down,one direction,65,2015
truffle butter,nicki minaj featuring drake & lil wayne,66,2015
one last time,ariana grande,67,2015
chains,nick jonas,68,2015
all eyes on you,meek mill featuring chris brown & nicki minaj,69,2015
no type,rae sremmurd,70,2015
riptide,vance joy,71,2015
classic man,jidenna featuring roman gianarthur,72,2015
ex's & oh's,elle king,73,2015
dear future husband,meghan trainor,74,2015
marvin gaye,charlie puth featuring meghan trainor,75,2015
like i'm gonna lose you,meghan trainor featuring john legend,76,2015
habits (stay high),tove lo,77,2015
the hanging tree,james newton howard featuring jennifer lawrence,78,2015
coco,o.t. genasis,79,2015
bang bang,"jessie j, ariana grande & nicki minaj",80,2015
lay me down,sam smith,81,2015
tuesday,i love makonnen featuring drake,82,2015
hit the quan,ilovememphis,83,2015
downtown,"macklemore & ryan lewis featuring eric nally, melle mel, kool moe dee & grandmaster caz",84,2015
house party,sam hunt,85,2015
ayo,chris brown & tyga,86,2015
kick the dust up,luke bryan,87,2015
blessings,big sean featuring drake,88,2015
budapest,george ezra,89,2015
chandelier,sia,90,2015
heartbeat song,kelly clarkson,91,2015
don't,ed sheeran,92,2015
ghost,ella henderson,93,2015
here,alessia cara,94,2015
waves,mr. probz,95,2015
el perdon (forgiveness),nicky jam & enrique iglesias,96,2015
she knows,ne-yo featuring juicy j,97,2015
night changes,one direction,98,2015
back to back,drake,99,2015
how deep is your love,calvin harris & disciples,100,2015
happy,pharrell williams,1,2014
dark horse,katy perry featuring juicy j,2,2014
all of me,john legend,3,2014
fancy,iggy azalea featuring charli xcx,4,2014
counting stars,onerepublic,5,2014
talk dirty,jason derulo featuring 2 chainz,6,2014
rude,magic!,7,2014
all about that bass,meghan trainor,8,2014
problem,ariana grande featuring iggy azalea,9,2014
stay with me,sam smith,10,2014
timber,pitbull featuring ke$ha,11,2014
pompeii,bastille,12,2014
shake it off,taylor swift,13,2014
am i wrong,nico & vinz,14,2014
turn down for what,dj snake & lil jon,15,2014
the monster,eminem featuring rihanna,16,2014
say something,a great big world & christina aguilera,17,2014
team,lorde,18,2014
let her go,passenger,19,2014
royals,lorde,20,2014
let it go,idina menzel,21,2014
wake me up!,avicii,22,2014
demons,imagine dragons,23,2014
story of my life,one direction,24,2014
chandelier,sia,25,2014
black widow,iggy azalea featuring rita ora,26,2014
bang bang,"jessie j, ariana grande & nicki minaj",27,2014
latch,disclosure featuring sam smith,28,2014
maps,maroon 5,29,2014
loyal,chris brown featuring lil wayne & french montana or too $hort or tyga,30,2014
best day of my life,american authors,31,2014
habits (stay high),tove lo,32,2014
summer,calvin harris,33,2014
boom clap,charli xcx,34,2014
drunk in love,beyonce featuring jay z,35,2014
anaconda,nicki minaj,36,2014
break free,ariana grande featuring zedd,37,2014
bailando,enrique iglesias featuring descemer bueno & gente de zona,38,2014
burn,ellie goulding,39,2014
wiggle,jason derulo featuring snoop dogg,40,2014
rather be,clean bandit featuring jess glynne,41,2014
don't tell 'em,jeremih featuring yg,42,2014
show me,kid ink featuring chris brown,43,2014
wrecking ball,miley cyrus,44,2014
not a bad thing,justin timberlake,45,2014
roar,katy perry,46,2014
ain't it fun,paramore,47,2014
the man,aloe blacc,48,2014
this is how we roll,florida georgia line featuring luke bryan,49,2014
classic,mkto,50,2014
a sky full of stars,coldplay,51,2014
don't,ed sheeran,52,2014
na na,trey songz,53,2014
hot boy,bobby shmurda,54,2014
"hold on, we're going home",drake featuring majid jordan,55,2014
sing,ed sheeran,56,2014
radioactive,imagine dragons,57,2014
my hitta,yg featuring jeezy & rich homie quan,58,2014
cool kids,echosmith,59,2014
hey brother,avicii,60,2014
trumpets,jason derulo,61,2014
animals,maroon 5,62,2014
burnin' it down,jason aldean,63,2014
play it again,luke bryan,64,2014
2 on,tinashe featuring schoolboy q,65,2014
dirt,florida georgia line,66,2014
love runs out,onerepublic,67,2014
bottoms up,brantley gilbert,68,2014
shower,becky g,69,2014
me and my broken heart,rixton,70,2014
animals,martin garrix,71,2014
lifestyle,rich gang featuring young thug & rich homie quan,72,2014
american kids,kenny chesney,73,2014
brave,sara bareilles,74,2014
sweater weather,the neighbourhood,75,2014
leave the night on,sam hunt,76,2014
new flame,chris brown featuring usher & rick ross,77,2014
love never felt so good,michael jackson & justin timberlake,78,2014
drunk on a plane,dierks bentley,79,2014
birthday,katy perry,80,2014
bartender,lady antebellum,81,2014
la la la,naughty boy featuring sam smith,82,2014
blurred lines,robin thicke featuring t.i. + pharrell,83,2014
do what u want,lady gaga featuring r. kelly,84,2014
can't remember to forget you,shakira featuring rihanna,85,2014
amnesia,5 seconds of summer,86,2014
no mediocre,t.i. featuring iggy azalea,87,2014
come with me now,kongos,88,2014
believe me,lil wayne featuring drake,89,2014
23,"mike will made-it featuring miley cyrus, wiz khalifa & juicy j",90,2014
beachin',jake owen,91,2014
white walls,macklemore & ryan lewis featuring schoolboy q & hollis,92,2014
she looks so perfect,5 seconds of summer,93,2014
stay the night,zedd featuring hayley williams,94,2014
partition,beyonce,95,2014
studio,schoolboy q featuring bj the chicago kid,96,2014
0 to 100 / the catch up,drake,97,2014
i don't dance,lee brice,98,2014
somethin' bad,miranda lambert duet with carrie underwood,99,2014
adore you,miley cyrus,100,2014
thrift shop,macklemore & ryan lewis featuring wanz,1,2013
blurred lines,robin thicke featuring t.i. + pharrell,2,2013
radioactive,imagine dragons,3,2013
harlem shake,baauer,4,2013
can't hold us,macklemore & ryan lewis featuring ray dalton,5,2013
mirrors,justin timberlake,6,2013
just give me a reason,p!nk featuring nate ruess,7,2013
when i was your man,bruno mars,8,2013
cruise,florida georgia line featuring nelly,9,2013
roar,katy perry,10,2013
locked out of heaven,bruno mars,11,2013
ho hey,the lumineers,12,2013
stay,rihanna featuring mikky ekko,13,2013
get lucky,daft punk featuring pharrell williams,14,2013
royals,lorde,15,2013
i knew you were trouble.,taylor swift,16,2013
we can't stop,miley cyrus,17,2013
wrecking ball,miley cyrus,18,2013
wake me up!,avicii,19,2013
suit & tie,justin timberlake featuring jay z,20,2013
cups (pitch perfect's when i'm gone),anna kendrick,21,2013
holy grail,jay z featuring justin timberlake,22,2013
scream & shout,will.i.am & britney spears,23,2013
clarity,zedd featuring foxes,24,2013
sail,awolnation,25,2013
don't you worry child,swedish house mafia featuring john martin,26,2013
diamonds,rihanna,27,2013
i love it,icona pop featuring charli xcx,28,2013
safe and sound,capital cities,29,2013
treasure,bruno mars,30,2013
the way,ariana grande featuring mac miller,31,2013
started from the bottom,drake,32,2013
come & get it,selena gomez,33,2013
"hold on, we're going home",drake featuring majid jordan,34,2013
daylight,maroon 5,35,2013
feel this moment,pitbull featuring christina aguilera,36,2013
applause,lady gaga,37,2013
one more night,maroon 5,38,2013
love me,lil wayne featuring drake & future,39,2013
my songs know what you did in the dark (light em up),fall out boy,40,2013
f**kin problems,"a$ap rocky featuring drake, 2 chainz & kendrick lamar",41,2013
beauty and a beat,justin bieber featuring nicki minaj,42,2013
same love,macklemore & ryan lewis featuring mary lambert,43,2013
sweet nothing,calvin harris featuring florence welch,44,2013
summertime sadness,lana del rey & cedric gervais,45,2013
home,phillip phillips,46,2013
it's time,imagine dragons,47,2013
power trip,j. cole featuring miguel,48,2013
girl on fire,alicia keys featuring nicki minaj,49,2013
heart attack,demi lovato,50,2013
love somebody,maroon 5,51,2013
i will wait,mumford & sons,52,2013
try,p!nk,53,2013
wagon wheel,darius rucker,54,2013
gangnam style,psy,55,2013
i need your love,calvin harris featuring ellie goulding,56,2013
die young,ke$ha,57,2013
some nights,fun.,58,2013
bad,wale featuring tiara thomas or rihanna,59,2013
boys 'round here,blake shelton featuring pistol annies & friends,60,2013
"gone, gone, gone",phillip phillips,61,2013
demons,imagine dragons,62,2013
counting stars,onerepublic,63,2013
i cry,flo rida,64,2013
little talks,of monsters and men,65,2013
the other side,jason derulo,66,2013
berzerk,eminem,67,2013
catch my breath,kelly clarkson,68,2013
crash my party,luke bryan,69,2013
pour it up,rihanna,70,2013
22,taylor swift,71,2013
i want crazy,hunter hayes,72,2013
the fox,ylvis,73,2013
best song ever,one direction,74,2013
the a team,ed sheeran,75,2013
carry on,fun.,76,2013
highway don't care,tim mcgraw with taylor swift,77,2013
that's my kind of night,luke bryan,78,2013
swimming pools (drank),kendrick lamar,79,2013
sure be cool if you did,blake shelton,80,2013
#beautiful,mariah carey featuring miguel,81,2013
troublemaker,olly murs featuring flo rida,82,2013
body party,ciara,83,2013
adorn,miguel,84,2013
hall of fame,the script featuring will.i.am,85,2013
let me love you (until you learn to love yourself),ne-yo,86,2013
u.o.e.n.o.,rocko featuring future & rick ross,87,2013
next to me,emeli sande,88,2013
mama's broken heart,miranda lambert,89,2013
it goes like this,thomas rhett,90,2013
bugatti,ace hood featuring future & rick ross,91,2013
wanted,hunter hayes,92,2013
downtown,lady antebellum,93,2013
get your shine on,florida georgia line,94,2013
#thatpower,will.i.am featuring justin bieber,95,2013
brave,sara bareilles,96,2013
let her go,passenger,97,2013
runnin' outta moonlight,randy houser,98,2013
i'm different,2 chainz,99,2013
still into you,paramore,100,2013
